essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,rater1_domain2,rater2_domain2,domain2_score,rater1_trait1,rater1_trait2,rater1_trait3,rater1_trait4,rater1_trait5,rater1_trait6,rater2_trait1,rater2_trait2,rater2_trait3,rater2_trait4,rater2_trait5,rater2_trait6,rater3_trait1,rater3_trait2,rater3_trait3,rater3_trait4,rater3_trait5,rater3_trait6
1604,2,"Google Cloud Platform Architect Certification or equivalent.
Experience providing training to a diverse set of customers.
Comfortable working in a fast growing, dynamic and sometimes ambiguous environment.
Ability to speak and write in Spanish fluently and idiomatically.",7,9,,10,,,,,,,,,,,,,,,,,,,,,
1605,2,"Experience managing and building a pipeline to support long-term sales growth.
Proven track record of sales experience with wins to demonstrate sales leadership.
Strong knowledge of the digital marketing ecosystem and successful marketing strategies for a range of different client industries.
Product knowledge across all digital advertising products areas.
Ability to leverage your business acumen to strategically assess and help solve client needs.
Knowledge of traditional and online marketing strategy and tactics.",9,9,,10,,,,,,,,,,,,,,,,,,,,,
1606,2,"MBA degree or equivalent practical experience.
Diverse cultural understanding and ability to work with global teams.
Effective analytical, problem-solving and people management skills.
Ability to speak and write in English fluently and idiomatically.
Interest in working towards an assigned quota and managing sustainable growth.",10,9,,7,,,,,,,,,,,,,,,,,,,,,
1607,2,"Experience in a quantitative field such as, finance, economics, statistics, business analysis, or other equivalent.
Experience working in app developer industry.
Proven track record of exceeding sales goals; Interest in sales, marketing, media planning as well as an interest in working with and educating new advertisers.
Agile and creative problem solver who demonstrates grit and resolve to find solutions
Strong understanding of the app developer ecosystem.
Strong communication skills and the ability to pitch comprehensive advertising solutions.",8,9,,9,,,,,,,,,,,,,,,,,,,,,
1608,2,"MBA degree.
Industry knowledge of System Integrators (SIs)/Service Providers (SPs) and Independent Software Vendors (ISVs). Knowledge of Cloud ecosystem.
Understanding of foundational cloud technologies (network, compute, database, middleware, visualization, etc).
Partner/channel pipeline development and people management skills.
Demonstrated interpersonal skills when working in a cross-functional organization.
Excellent written and oral communication skills.",10,9,,9,,,,,,,,,,,,,,,,,,,,,
1609,2,"Background in Business Intelligence and Retail Operations (FMCG, CE, Carrier).
Experience working with Salesforce, Retail systems and/or Big Data.
Effective analytical skills (AB analysis, ROI, job costing, etc).",7,10,,10,,,,,,,,,,,,,,,,,,,,,
1610,2,"Experience in ongoing partner relationship management, with the ability to serve as an advocate for accounts internally and work collaboratively to identify opportunities and resolve issues.
Experience working with C-level executives, fostering relationships with commerce and financial technology partners across India.
Ability to interpret legal documents and work with attorneys on specific agreement language. Understanding of, and relationships within financial technology, commerce and distribution sectors.
Ability to provide support for partners, including resolving technical, contractual and payment challenges.
Effective consultation skills with a partnership approach. Ability to represent in developing strategic agreements and structure teams to achieve ongoing partner alignment.",9,7,,8,,,,,,,,,,,,,,,,,,,,,
1611,2,"Experience in planning, delivering and executing on measurement and creative strategies, as well as entire marketing campaigns.
Background in Sales, Consulting, Media and/or Advertising.
Demonstrated ability to think strategically about complex issues and to develop recommendations and action plans. Effective analytical skills.
Ability to move fast, be bold, and to thrive in a dynamic, constantly evolving environment.
Effective communication and influencing skills with the ability to pitch comprehensive advertising solutions for all clients.",7,7,,9,,,,,,,,,,,,,,,,,,,,,
1612,2,"Experience in building relationships at various levels. Experience in managing new business and/or account management experience in online advertising.
Experience working towards strategic business goals. Existing business relationships within the advertising, marketing and digital industries in Australia and New Zealand.
Familiarity with online media buying and selling processes, and knowledge of advertising technologies including ad serving, rich media, Search Management, Demand and SupplySide Platforms and Ad Exchange.
Demonstrated ability to work with cross-functional teams and build relationships across internal teams.
Demonstrated strategic and analytical sales approach with focus on building relationships with clients. Ability to be flexible/adaptable in exercising judgment in a dynamic matrixed environment.
Excellent written and verbal communications skills and the ability to influence others.",9,8,,8,,,,,,,,,,,,,,,,,,,,,
1613,2,"MBA or Master's degree in Computer Science or related field, or equivalent practical experience
Experience managing senior stakeholders in a matrixed organization
Demonstrated executive leadership capabilities and excellent interpersonal skills. Proven track record of success in a scaled environment in inside sales, IT sales, marketing or operations. Demonstrated success developing team members.
Understanding of the technology and cloud computing market, and experience with Google Cloud products (G Suite, Google Cloud Platform)",10,8,,9,,,,,,,,,,,,,,,,,,,,,
1614,2,"Experience managing first and third-party research and tools.
Deep knowledge of search, social, mobile, display, video audio and local spaces.
Ability to see granular as well as big-picture issues.
Strong analytical skills.
Excellent communications, project management, interpersonal, and organizational skills.",9,8,,10,,,,,,,,,,,,,,,,,,,,,
1615,2,"Experience selling or managing in the LatAm market.
Demonstrated track record in reaching and exceeding goals in the technology industry with SaaS products. Experience using CRM system (e.g. Salesforce.com).
Strong cross-functional leadership and collaboration skills. Experience with marketing or sales support in developing product, solution messaging, narratives and value propositions.
Goal oriented, self-motivated individual who is confident, thorough, and tenacious. Analytical, detail-oriented and able to “zoom” in/out from the big picture to the minutiae. Demonstrated organizational and project management capabilities.
Ability to effectively operate with enthusiasm and flexibility in a fast-paced, constantly evolving team environment.
Effective communication and presentation skills, both written and verbal in English and Spanish.",7,7,,7,,,,,,,,,,,,,,,,,,,,,
1616,2,"Experience advising customers on mobile app strategy and presenting to internal and external stakeholders.
Ability to analyze complex advertiser performance data through tools such as Google AdWords and Google Analytics.
Excellent project management and interpersonal skills, with the ability to operate strategically, execute effectively and work towards strategic goals.",8,7,,8,,,,,,,,,,,,,,,,,,,,,
1617,2,"Relevant experience in sales management, business development and/or partner management in an internet, software platform or consumer electronics/hardware company.
Experience in relationship management. Experience working towards strategic business goals.
Demonstrated ability to plan and manage at both a strategic executive and operational level within a carrier sales environment.
Ability to interpret legal documents and work with lawyers to complete agreements.
Established local relationships and presence within the telecom sector. Effective communication skills, with the ability to comfortably interact with partners.
Excellent analytical and detail-oriented skills, with the ability to clarify and summarize complex challenges.",7,8,,7,,,,,,,,,,,,,,,,,,,,,
1618,2,"Experience managing technical escalations from partners and internal teams.
Experience managing and executing time-sensitive initiatives with minimum guidance and high attention to detail.
Experience in troubleshooting device and service issues.
Experience working with hardware partners on mobile computing platforms.
Experience leading and implementing high-impact projects with cross-functional teams, with the ability to collaborate with partners and internal stakeholders across a range of experience levels.
Excellent Project Management, problem-solving, relationship building and analytical skills.",7,7,,10,,,,,,,,,,,,,,,,,,,,,
1619,2,"Experience working and advising customers on their mobile strategy
Performance-focused and product knowledge in the mobile space.
Demonstrated ability to influence decision makers using consultative sales skills with C-levels and building client relationships.
Ability to analyze complex advertiser performance data through tools such as Google AdWords and Analytics.
Effective strategic and analytical capabilities, with creativity and readiness to roll-up sleeves to drive success/impact.",8,10,,8,,,,,,,,,,,,,,,,,,,,,
1620,2,"Master's degree in Computer Science or other relevant technical field.
Experience with Big Data, Platform-as-a-Service (PaaS) and Infrastructure-as-a-Service (IaaS) technologies.
Experience serving as a Customer Service Operative or Technical Sales Engineer in a cloud computing environment or equivalent experience in a customer facing role (including working as a member of a professional services or systems engineering team).
Experience and knowledge of SAP technologies (SAP Business Suite, S/4HANA, SAP Business Warehouse, SAP Hybris, SAP Business Objects, Sybase, Leonardo suite etc.) and their architecture and infrastructure needs.
Experience with SAP HANA, including sizing, disaster recovery, multi tenancy concepts, scale-out architectures and data tiering.
Understanding of SAP cloud offerings with focus on HEC and SAP Cloud Platform. Ability to quickly learn, understand and work with new emerging technologies, methodologies, and solutions in the cloud technology space.",7,10,,8,,,,,,,,,,,,,,,,,,,,,
1621,2,"Experience working with Salesforce, Retail systems or big data.
Background in Business Intelligence.
Background in Retail Operations (FMCG, CE, Carrier).
Strong analytical skills (AB analysis, ROI, job costing, etc).",7,8,,9,,,,,,,,,,,,,,,,,,,,,
1622,2,"4 years of experience selling Platform/Infrastructure-as-a-Service (PaaS/IaaS) with experience working towards strategic business goals in the technology industry.
Experience in Technical and/or Sales Engineering in Computer Science or Information Systems. Experience using CRM systems such as Salesforce.com.
Demonstrated ability to speak credibly about PaaS and IaaS, and perform basic technical qualifications.
Ability to build influential relationships and deliver results in a cross-functional environment.
Ability to effectively operate with flexibility in a fast-paced, dynamic team environment.
Excellent written and verbal communication/presentation, strategic and analytical skills, with the ability to plan, present and execute a territory sales strategy.",8,10,,10,,,,,,,,,,,,,,,,,,,,,
1623,2,"AdWords certified with experience in search marketing.
Proficiency with Google Apps products, spreadsheet and presentation software.
Ability to strategically think and analyze the needs of clients.
Effective business sense, problem-solving, project management and analytical skills.
Experience in a high productivity environment and working towards objectives.",7,8,,9,,,,,,,,,,,,,,,,,,,,,
1624,2,"Experience working in a SaaS and Cloud (IaaS and PaaS) environment.
Strong understanding of the technology market, and a passion for Google applications and Cloud Computing
Highly analytical, with a track record of being a strong problem solver, capable of translating analysis and insights into actionable business plans
Demonstrated organizational and project management capabilities and ability to manage multiple tasks with shifting priorities and varying deadlines
Strong communication skills, both written and oral",9,8,,8,,,,,,,,,,,,,,,,,,,,,
1625,2,"Master's degree in Computer Science or other relevant technical field.
Experience with Big Data, Platform-as-a-Service (PaaS) and Infrastructure-as-a-Service (IaaS) technologies.
Experience serving as Customer Service Operative or Technical Sales Engineer in a cloud computing environment or equivalent experience in a customer facing role (including working as a member of a professional services or systems engineering team).
Experience and knowledge of SAP technologies (SAP Business Suite, S/4HANA, SAP Business Warehouse, SAP Hybris, SAP Business Objects, Sybase, Leonardo suite etc.) and their architecture and infrastructure needs.
Experience with SAP HANA, including sizing, disaster recovery, multi tenancy concepts, scale-out architectures and data tiering.
Understanding of SAP cloud offerings with focus on HEC and SAP Cloud Platform. Ability to quickly learn, understand and work with new emerging technologies, methodologies, and solutions in the cloud technology space.",9,7,,9,,,,,,,,,,,,,,,,,,,,,
1626,2,"Experience producing polished training material for a wide audience.
Experience with assisted sales in a physical retail environment and/or customer support operations.
Track record of managing multiple, time-sensitive initiatives with high-attention to detail.
Demonstrated ability to lead and implement high-impact projects with cross-functional teams.
Excellent written and oral communication skills.",9,10,,7,,,,,,,,,,,,,,,,,,,,,
1627,2,"Local marketing expertise in the broadcasting industry.
Experience in business development, client relationship and servicing skills, and solution-based selling.
Demonstrated ability to lead and manage multiple projects with a broad range of internal and external constituents simultaneously.
Demonstrated ability to think strategically about complex issues and develop recommendations and action plans.
Ability to speak and write in English and Swedish fluently and idiomatically.",10,8,,10,,,,,,,,,,,,,,,,,,,,,
1628,2,"MBA, Master's, JD or other advanced degree.
Experience developing complex agreement structures and using presentation software to facilitate communication with internal and external stakeholders.
Knowledge of commercial Customer Relationship Manager (CRM) and Enterprise Resource Planning (ERP) systems.
Ability to lead and handle multiple time-sensitive projects.
Effective analytical and problem solving capabilities, with business judgement and the ability to present analysis in a clear and compelling manner.",7,10,,9,,,,,,,,,,,,,,,,,,,,,
1629,2,"Experience working towards strategic goals in a fast-paced environment.
Advanced level of proficiency in spreadsheet and presentation tools.
Ability to strategically think and analyze the needs of clients.
Excellent business sense, problem solving, project management and analytical skills.
Excellent written and communication skills.",9,7,,7,,,,,,,,,,,,,,,,,,,,,
1630,2,"MBA degree.
Experience delivering Go-to-Market strategies and results.
Experience with the cloud ecosystem. Industry knowledge of System Integrators (SIs)/Service Providers (SPs) and Independent Software Vendors (ISVs).
Existing relationships and professional experience with with cloud partners in the UK. Excellent partner/channel pipeline development and management skills.
Effective interpersonal skills and comfort working in and through a cross-functional organization.
Excellent written and oral communication skills, with experience presenting to all types of audiences.",10,9,,10,,,,,,,,,,,,,,,,,,,,,
1631,2,"MBA degree.
Industry knowledge of System Integrators (SIs)/Service Providers (SPs) and Independent Software Vendors (ISVs). Knowledge of Cloud ecosystem.
Understanding of foundational cloud technologies (network, compute, database, middleware, visualization, etc).
Partner/channel pipeline development and people management skills.
Demonstrated interpersonal skills when working in a cross-functional organization.
Excellent written and oral communication skills.",7,7,,8,,,,,,,,,,,,,,,,,,,,,
1632,2,"Experience building and cultivating lasting relationships with accounts.
Understanding of Big Data landscape and Business Intelligence technologies, as well as knowledge of how various cloud technologies (PaaS and IaaS) work together to drive deeper technology adoption within the existing large account base.
Demonstrated ability to meet and exceed strategic goals in a fast-paced environment.
Ability to engage with both developer audiences as well as C-level IT and business leaders.",9,9,,8,,,,,,,,,,,,,,,,,,,,,
1633,2,"Ability to structure and solve complex, ambiguous business challenges.
Ability to strategically analyze the needs of clients.
Strong customer-facing, consultative expertise and a demonstrated interest in technology.
Effective analytical, project management, interpersonal, and organizational skills.
Excellent data visualization and presentation skills.",7,7,,10,,,,,,,,,,,,,,,,,,,,,
1634,2,"Experience working with channel partners, systems integrators and third-party developers to deliver successful solutions.
Experience reading software code in one or more languages such as Java, Javascript, Python.
Ability to thrive in evolving and ambiguous environments. Ability to work well in a cross-functional and geographically dispersed team.
Effective written and verbal communication skills, including presentation writing and delivery.",9,9,,8,,,,,,,,,,,,,,,,,,,,,
1635,2,"Experience, or internship experience, in sales, customer support, account management, business analysis, marketing or consulting, in the technology industry or a related field.
Technically minded, with an understanding of the technology and cloud computing market, and a passion for Google Cloud products (G-Suite, Google Cloud Platform).
Ability to effectively operate with motivation and flexibility in a fast-paced, constantly evolving team environment.
Ability to build influential relationships and to deliver results in a cross-functional/matrixed environment.
Goal oriented, self-motivated individual who is confident, thorough, tenacious with strong analytical skills. Demonstrated organizational and project management capabilities.
Effective communication and presentation skills, both written and verbal.",9,7,,10,,,,,,,,,,,,,,,,,,,,,
1636,2,"Experience working in the AppDev industry.
Experience working towards strategic goals.
Understanding of the app developer ecosystem.
Proactive, organized and responsible, with a proven ability to work well in a team.
Demonstrated interest in sales and in working with and educating new advertisers.
Effective communication skills with the ability to pitch comprehensive advertising solutions.",7,8,,10,,,,,,,,,,,,,,,,,,,,,
1637,2,"MBA degree.
Experience in the mobile, ad sales and/or online publishing industry.
Experience in Account/Partnership Management or Business Development in an online company.
Experience in interacting and building relationships with senior-level executives and managers.
Strong analytical and reasoning skills.
Effective communication and interpersonal skills.",7,9,,8,,,,,,,,,,,,,,,,,,,,,
1638,2,"Demonstrated experience with marketing analytics, return on investment/financial modeling and statistical analysis.
Experience using search engine marketing (Google AdWords), website analytics platforms (Google Analytics and other measurement suite products), and brand analysis techniques (upper funnel analysis).
Experience using SQL to extract and manipulate data, or with other programming or scripting languages such as R, Python, C++.
Strong understanding of statistical modeling and quantitative analysis techniques.
Ability to analyze large datasets with the goal of delivering actionable insights.",7,8,,9,,,,,,,,,,,,,,,,,,,,,
1639,2,"Operations Six Sigma certification (or other relevant operations coursework).
3 years of analytical work experience - understanding customer needs and working with data to identify trends and develop solutions.
Experience in project management, customer service, process quality and process optimization.
Experience working in transition management.
Knowledge of SQL.
Knowledge of one or more areas within AdWords (Analytics, Policy, Search etc) and/or in one or more Platforms products (Ad Exchange, CAS, DoubleClick Bid Manager, DoubleClick Campaign Manager, DoubleClick Search).",10,8,,7,,,,,,,,,,,,,,,,,,,,,
1640,2,"Frontline sales experience.
Demonstrated understanding of the entire suite of Google Cloud products.
Understanding of cloud computing customer business drivers.
Ability to isolate issues and gather necessary resources to meet customer needs.
Effective pitching and presentation skills.",9,8,,8,,,,,,,,,,,,,,,,,,,,,
1641,2,"Experience managing first and third-party research and tools.
Deep knowledge of search, social, mobile, display, video audio and local spaces.
Ability to see granular as well as big-picture issues.
Strong analytical skills.
Excellent communications, project management, interpersonal, and organizational skills.",10,9,,8,,,,,,,,,,,,,,,,,,,,,
1642,2,"Experience in sales, account management, marketing or consulting.
Experience in troubleshooting and/or resolving customers queries; customer service.
Demonstrated ability to multi-task and manage multiple projects with attention to detail.
Ability to lead and/or motivate others around you.",10,9,,10,,,,,,,,,,,,,,,,,,,,,
1643,2,"Experience in the video, media, and/or entertainment industry.
Experience as a YouTube creator, with a passion for finding, developing and managing YouTube creators.
Experience in an external-facing customer interaction role with customer support, sales, and/or relationship development.
Ability to interact at all levels of an organization, as well as cross-functionally.
Effective problem-solving skills and proven track record of proactively improving processes.
Excellent communication, presentation planning and time management skills, with attention to detail.",7,7,,8,,,,,,,,,,,,,,,,,,,,,
1644,2,"Experience in an analytical role, working with data to identify trends and make recommendations. Experience analyzing online performance marketing.
Demonstrated understanding of exploration and advanced analysis across large and complex datasets (e.g. SQL, JavaScript, R, Python).
Demonstrated working proficiency in spreadsheet and presentation software.
Ability to act with a high degree of autonomy when solving complex, ambiguous problems in a fast paced environment.
Proactive leadership mindset with the ability to identify opportunities and to influence key stakeholders.
Excellent project management, interpersonal, organizational and analytical skills.",10,8,,9,,,,,,,,,,,,,,,,,,,,,
1645,2,"Experience running scalable businesses.
Strong execution orientation, have a proven track record of consistently delivering business results despite challenges
Fast learner, and be able to pick up new products and eco-system dynamics and perform quickly
Partner-centric, business problem solver, and can develop strong trusted relationships to clients",8,10,,8,,,,,,,,,,,,,,,,,,,,,
1646,2,"Experience presenting and selling consumer electronics to Retailers.
Demonstrated ability to plan and manage at both a strategic and operational level, and to successfully launch new products in the market.
Ability to manage ambiguity and scale effectively across a large organization.
Long-term strategic thinking, balanced with near-term execution skills; ability to take complex data and distill them into a meaningful and coherent story.
Effective written and oral communication skills with peers, management, and cross-functional teams. Excellent business acumen, problem-solving, project management and analytical skills.",9,9,,8,,,,,,,,,,,,,,,,,,,,,
1647,2,"Sales and relationship management experience in technology-using platform or infrastructure-as-a-service.
Experience building and cultivating lasting relationships with accounts.
Understanding of Big Data landscape and Business Intelligence technologies, as well as knowledge of how various cloud technologies (PaaS and IaaS) work together to drive deeper technology adoption within the existing large account base.
Demonstrated ability to achieve strategic goals in a fast-paced environment.
Ability to engage with both developer audiences as well as C-level IT and business leaders.",10,8,,10,,,,,,,,,,,,,,,,,,,,,
1648,2,"Experience creating online help documentation or trainings for an internal audience.
Previous project management experience and ability to execute end-to-end solutions.
Knowledge of Google AdWords and related ads products.
Understanding of Google’s support ecosystem and industry landscape.
Attention to detail.
Written and verbal communications skills, and collaboration skills.",10,7,,9,,,,,,,,,,,,,,,,,,,,,
1649,2,"MBA.
Experience managing senior stakeholders in a matrixed organization.
Demonstrated organizational and project management capabilities and able to manage multiple tasks with shifting priorities and varying deadlines.
Demonstrated executive leadership capabilities and excellent interpersonal skills.
Proven track record of success in a scaled environment in inside-sales, IT sales, marketing or operations and a passion for Google Cloud.
Ability to effectively operate with enthusiasm and flexibility in a fast-paced, constantly evolving team environment.",10,8,,9,,,,,,,,,,,,,,,,,,,,,
1650,2,"Experience in building relationships at various levels. Experience in managing new business and/or account management experience in online advertising.
Experience working towards strategic business goals. Existing business relationships within the advertising, marketing and digital industries in Australia and New Zealand.
Familiarity with online media buying and selling processes, and knowledge of advertising technologies including ad serving, rich media, Search Management, Demand and SupplySide Platforms and Ad Exchange.
Demonstrated ability to work with cross-functional teams and build relationships across internal teams.
Demonstrated strategic and analytical sales approach with focus on building relationships with clients. Ability to be flexible/adaptable in exercising judgment in a dynamic matrixed environment.
Excellent written and verbal communications skills and the ability to influence others.",10,9,,7,,,,,,,,,,,,,,,,,,,,,
1651,2,"Experience building and cultivating lasting relationships with accounts.
Understanding of Big Data landscape and Business Intelligence technologies, as well as knowledge of how various cloud technologies (PaaS and IaaS) work together to drive deeper technology adoption within the existing large account base.
Demonstrated ability to meet and exceed strategic goals in a fast-paced environment.
Ability to engage with both developer audiences as well as C-level IT and business leaders.",10,7,,9,,,,,,,,,,,,,,,,,,,,,
1652,2,"Passion for, and experience in, the Telco industry
Strong ability to grasp complex technical and product concepts and excellent interpersonal and communication skills to formulate and articulate business, financial and other points of value with partners as well as internal Google teams.
Persistent and highly collaborative, with a passion for and understanding of Google products
Strong analytical and problem solving skills",10,8,,9,,,,,,,,,,,,,,,,,,,,,
1653,2,"Experience or internship in sales, customer support, account management, business analysis, marketing or consulting in the technology industry.
Technically minded, with a understanding of the technology and cloud computing market, and a passion for Google Cloud products (G-Suite, Google Cloud Platform).
Ability to build influential relationships and deliver results in a cross-functional/matrixed environment.
Goal oriented, self-motivated individual who is confident, thorough, tenacious with strong analytical skills. Demonstrated organizational and project management capabilities.
Ability to effectively operate with enthusiasm and flexibility in a fast-paced, constantly evolving team environment.
Strong communication and presentation skills, both written and verbal.",7,9,,8,,,,,,,,,,,,,,,,,,,,,
1654,2,"Experience in advertising sales, digital marketing, consulting, brand marketing, or in a fast-paced media agency environment.
Demonstrated record of improving business relationships and successfully developing new business opportunities.
Demonstrated ability to think strategically about complex issues and to develop recommendations and action plans.
Demonstrated ability to lead and manage multiple projects with a broad range of internal and external constituents simultaneously.
Established relationships and presence with performance agencies or traditional media agencies.",7,10,,9,,,,,,,,,,,,,,,,,,,,,
1655,2,"MBA, MS or other advanced degree.
Extensive experience dealing with strategic partners, analyzing and structuring complex agreement structures with a proven track record of negotiation and execution.
Experience in SaaS, cloud platform, telecommunications, and/or IT infrastructure businesses.
Strong attention to detail, highly entrepreneurial, creative, open-minded, persistent and highly collaborative. Has passion for and understanding of Google products.
Excellent interpersonal and communication skills and the ability to formulate and articulate technical and financial value points with partners and internal Google teams.
Ability to travel 20-30%.",7,9,,7,,,,,,,,,,,,,,,,,,,,,
1656,2,"Master's degree in Computer Science or related field.
Background in and/or knowledge of enterprise messaging systems.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the cloud/IT Technology space.
Comfortable presenting to business and technical audiences, with the ability to present to customers and to lead training sessions on technical aspects of products and services for sellers and partners.",8,10,,7,,,,,,,,,,,,,,,,,,,,,
1657,2,"MBA degree.
Industry knowledge of System Integrators (SIs)/Service Providers (SPs) and Independent Software Vendors (ISVs). Knowledge of Cloud ecosystem.
Understanding of foundational cloud technologies (network, compute, database, middleware, visualization, etc).
Partner/channel pipeline development and people management skills.
Demonstrated interpersonal skills when working in a cross-functional organization.
Excellent written and oral communication skills.",7,9,,9,,,,,,,,,,,,,,,,,,,,,
1658,2,"Experience, or internship experience, in sales, customer support, account management, business analysis, marketing or consulting, in the technology industry or a related field.
Technically minded, with an understanding of the technology and cloud computing market, and a passion for Google Cloud products (G-Suite, Google Cloud Platform).
Ability to effectively operate with motivation and flexibility in a fast-paced, constantly evolving team environment.
Ability to build influential relationships and to deliver results in a cross-functional/matrixed environment.
Goal oriented, self-motivated individual who is confident, thorough, tenacious with strong analytical skills. Demonstrated organizational and project management capabilities.
Effective communication and presentation skills, both written and verbal.",8,10,,7,,,,,,,,,,,,,,,,,,,,,
1659,2,"Experience in advertising sales, digital marketing, consulting, brand marketing, or in a fast-paced media agency environment.
Experience with improving business relationships and successfully developing new business opportunities.
Demonstrated ability to think strategically about complex issues and develop recommendations and action plans.
Demonstrated ability to lead and manage multiple projects with a broad range of internal and external constituents simultaneously
Established relationships and presence with performance agencies or traditional media agencies.",8,9,,8,,,,,,,,,,,,,,,,,,,,,
1660,2,"MS degree in Computer Science, Applied Mathematics, Statistics, Quantitative Social Sciences or related field.
Experience with cyber security and malware reducing common and unknown computer risks.
Experience with machine learning, data mining, or building statistical methods.
Ability to thrive in a fun, collaborative and fast-paced environment.",8,10,,10,,,,,,,,,,,,,,,,,,,,,
1661,2,"Experience building and cultivating lasting relationships with accounts.
Understanding of the Big Data landscape and Business Intelligence technologies, as well as knowledge of how various cloud technologies (PaaS and IaaS) work together to drive deeper technology adoption within the existing large account base.
Demonstrated ability to meet and exceed strategic goals in a fast-paced environment.
Ability to engage with developer audiences, as well as C-level IT and business leaders.",10,8,,10,,,,,,,,,,,,,,,,,,,,,
1662,2,"Knowledge of spreadsheet applications.
Detail-oriented and skilled in analyzing data, and creating and maintaining spreadsheets and metrics.
Effective written and verbal communication, problem-solving, organizational, analytical and documentation skills.",9,8,,9,,,,,,,,,,,,,,,,,,,,,
1663,2,"MBA degree.
Experience delivering Go-to-Market strategies and results.
Experience with the cloud ecosystem. Industry knowledge of System Integrators (SIs)/Service Providers (SPs) and Independent Software Vendors (ISVs).
Existing relationships and professional experience with with cloud partners in the UK. Excellent partner/channel pipeline development and management skills.
Effective interpersonal skills and comfort working in and through a cross-functional organization.
Excellent written and oral communication skills, with experience presenting to all types of audiences.",9,8,,8,,,,,,,,,,,,,,,,,,,,,
1664,2,"Experience or internship in sales, customer support, account management, business analysis, marketing or consulting in the technology industry.
Technically minded, with a understanding of the technology and cloud computing market, and a passion for Google Cloud products (G-Suite, Google Cloud Platform).
Goal oriented, self-motivated individual who is confident, thorough, tenacious with strong analytical skills. Demonstrated organizational and project management capabilities.
Ability to build influential relationships and deliver results in a cross-functional/matrixed environment.
Ability to effectively operate with enthusiasm and flexibility in a fast-paced, constantly evolving team environment.
Strong communication and presentation skills, both written and verbal.",8,8,,8,,,,,,,,,,,,,,,,,,,,,
1665,2,"Multilingual speaker with 2 years of experience in NLP research or related fields.
Proficiency in Python, C++ or other programming languages
Familiarity with experimental design, research methodologies, qualitative and quantitative analysis
Independent worker with the ability to effectively operate with flexibility in a fast paced, constantly evolving team environment. Team player with exceptional interpersonal and solution-oriented attitude.
Creative thinker with strong problem solving and analytical skills and excellent written and verbal communication skills.",8,8,,7,,,,,,,,,,,,,,,,,,,,,
1666,2,"Experience in online media experience, with an understanding of mobile, search and programmatic.
Experience in business development, client relationship and servicing, customer needs and solution-based selling.
Experience working with online companies in a sales and marketing and/or management consulting capacity.
Effective relationship skills, with the ability to manage large and complex projects with multiple stakeholders.
Excellent communication and presentation skills across all hierarchy levels in business environments.",8,7,,8,,,,,,,,,,,,,,,,,,,,,
1667,2,"Experience managing first and third-party research and tools
Deep knowledge of search, social, mobile, display, video audio and local spaces
Strong analytical skills that include the ability to see granular as well as big picture issues.
Ability to demonstrate strong communications, project management, interpersonal, and organizational skills",10,7,,9,,,,,,,,,,,,,,,,,,,,,
1668,2,"Field sales experience in the technology industry, promoting PaaS or IaaS.
Experience in promoting cloud computing technologies to large and complex organizations across geographies.
Deep understanding of data and networking technologies, the global cloud computing market and key drivers for growth in the target industry segment.
Understanding of how various cloud technologies work together to be able to drive deeper technology adoption within the existing large account base.",9,9,,9,,,,,,,,,,,,,,,,,,,,,
1669,2,"Demonstrated knowledge of Google Analytics.
Excellent analytical skills.",10,9,,10,,,,,,,,,,,,,,,,,,,,,
1670,2,"10 years of experience in business development and business transformational enterprise technology solutions.
Demonstrated record in meeting and exceeding strategic targets within an enterprise technology environment.
Demonstrable ability to speak credibly about platform- and infrastructure-as-a-service, and perform basic technical qualification.
Ability to plan, pitch, and execute a territory sales strategy.
Effective written/verbal communication and presentation skills, and strong strategic and analytical thinking skills.",9,8,,8,,,,,,,,,,,,,,,,,,,,,
1671,2,"Experience in developing channel or agency businesses or working with small business merchants.
Experience in working with brands with a large local presence.
Face-to-face client sales, customer support, or account management experience.
Direct sales experience. Demonstrated record of achieving strategic goals.
Ability to work effectively with cross functional and cross location stakeholders to deliver both revenue targets and project timelines.
Ability to strategically think about and analyze the needs of clients.",10,10,,9,,,,,,,,,,,,,,,,,,,,,
1672,2,"Experience creating online marketing and advertising strategies for performance focused clients.
Demonstrated project management experience.
Knowledge of Google’s products (Search, Mobile, Google Display Network, YouTube). Proficiency in the use of presentation and spreadsheet software, and Google Applications.
Demonstrated ability to influence and create strategic programs to drive performance (e.g. scalable implementation plans).
Ability to lead and coordinate cross-functional teams.
Ability to influence clients and to build strong client relationships.",8,10,,9,,,,,,,,,,,,,,,,,,,,,
1673,2,"Ability to work towards strategic goals in a fast-paced environment.
Excellent organizational, analytical and influencing skills.
Excellent written and communication skills.",8,9,,8,,,,,,,,,,,,,,,,,,,,,
1674,2,"Experience with leading and motivating. Ability to work well with your team and others
Demonstrated record in managing and customizing experience to a customer base.
Proven ability to multi-task and manage multiple projects at a time while paying attention to detail.
Proactive, independent worker who is highly organized and interested in the difference they can make through their individual contribution.
Interest in working toward strategic goals.",8,10,,7,,,,,,,,,,,,,,,,,,,,,
